"","lykke","utdanning","skala10"
"748",7,11,3
"749",10,12,4
"750",9,6,9
"751",8,3,9
"752",7,12,4
"753",9,3,9
"754",10,12,6
"755",8,12,4
"756",8,5,1
"757",10,5,8
"758",9,6,9
"759",8,3,NA
"760",6,5,10
"761",7,10,4
"762",9,3,10
"763",8,3,9
"764",10,8,10
"765",8,10,4
"766",9,11,4
"767",8,13,4
"768",7,10,4
"769",9,3,9
"770",8,9,8
"771",5,11,4
"772",8,13,3
"773",9,13,4
"774",7,11,4
"775",8,9,1
"776",8,5,10
"777",10,10,6
"778",10,6,10
"779",8,5,1
"780",8,5,9
"781",8,5,10
"782",8,13,1
"783",10,3,9
"784",8,6,9
"785",9,5,9
"786",7,11,9
"787",6,8,4
"788",10,10,4
"789",9,8,2
"790",7,10,4
"791",9,6,10
"792",9,3,10
"793",6,6,2
"794",8,6,9
"795",9,3,10
"796",9,3,4
"797",8,9,6
"798",7,10,6
"799",9,2,5
"800",8,10,5
"801",8,11,6
"802",2,4,9
"803",8,13,1
"804",8,6,5
"805",9,10,4
"806",10,6,2
"807",8,3,10
"808",8,5,1
"809",8,6,2
"810",9,5,7
"811",10,3,1
"812",10,9,3
"813",9,13,3
"814",6,5,9
"815",9,11,NA
"816",8,5,9
"817",8,5,9
"818",8,9,2
"819",8,8,2
"820",10,12,4
"821",8,3,9
"822",7,NA,NA
"823",6,3,10
"824",9,2,NA
"825",9,6,10
"826",8,4,4
"827",8,4,1
"828",9,13,3
"829",9,9,5
"830",10,13,4
"831",9,6,4
"832",9,6,5
"833",8,9,4
"834",7,13,NA
"835",9,10,7
"836",8,11,4
"837",7,13,3
"838",7,9,4
"839",9,5,2
"840",7,11,5
"841",9,11,9
"842",9,11,10
"843",7,11,2
"844",9,3,10
"845",6,13,3
"846",8,13,6
"847",8,9,10
"848",9,6,10
"849",7,11,5
"850",8,8,5
"851",6,10,6
"852",1,3,9
"853",8,13,4
"854",10,13,6
"855",8,13,3
"856",8,13,3
"857",8,13,4
"858",8,11,2
"859",8,8,9
"860",8,5,10
"861",8,3,10
"862",8,3,10
"863",9,1,NA
"864",9,10,1
"865",7,6,9
"866",9,6,2
"867",10,8,9
"868",7,10,4
"869",8,9,9
"870",10,2,NA
"871",8,2,10
"872",10,6,7
"873",8,5,4
"874",8,3,10
"875",9,12,4
"876",6,3,9
"877",9,5,2
"878",8,11,3
"879",6,6,10
"880",7,6,2
"881",7,8,10
"882",10,6,10
"883",9,6,2
"884",7,11,2
"885",9,9,3
"886",10,9,9
"887",0,10,9
"888",8,3,NA
"889",2,13,4
"890",8,10,6
"891",7,8,9
"892",9,10,7
"893",7,8,2
"894",8,6,5
"895",9,10,6
"896",8,13,4
"897",7,6,9
"898",8,11,3
"899",6,8,10
"900",8,6,6
"901",7,10,3
"902",8,10,4
"903",8,3,9
"904",8,10,9
"905",9,9,5
"906",9,8,10
"907",7,3,10
"908",7,6,9
"909",10,3,2
"910",9,2,9
"911",8,3,9
"912",10,5,6
"913",8,5,6
"914",8,6,10
"915",7,6,5
"916",9,3,9
"917",9,4,10
"918",10,6,9
"919",8,10,4
"920",9,6,4
"921",9,5,10
"922",6,5,10
"923",6,9,9
"924",8,13,4
"925",8,13,4
"926",9,6,7
"927",7,12,3
"928",9,13,4
"929",9,13,4
"930",8,13,3
"931",8,6,9
"932",8,10,3
"933",9,12,4
"934",8,13,4
"935",6,6,10
"936",9,5,9
"937",9,5,10
"938",5,3,NA
"939",10,5,9
