"","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged","region"
"190","MYS",2,5.4419169,0.2587464,2.9462521,2154,0.72,0,0,1,6.9,30.572531,"East Asia"
"191","MYS",3,4.444623,0.1753249,2.844219,2791,0.72,0.25,0,1,6.9,37.688251,"East Asia"
"192","MYS",4,4.9904332,0.1517872,2.5286281,3239,0.72,0,0,1,6.9,43.58297,"East Asia"
"193","MYS",5,2.0842841,0.2229393,2.579,4171,0.72,0,0,1,6.9,50.168159,"East Asia"
"194","MYS",6,3.253279,0.2267044,2.9397221,3869,0.72,0,0,1,6.9,59.92445,"East Asia"
"195","MYS",7,5.8947368,0.1708999,3.063112,5124,0.72,0,0,1,6.9,70.08712,"East Asia"
"196","NER",2,-8.1013336,3.8643229,NA,805,0.73,0,1,0,5.833333,8.375386,"Sub-saharan Africa"
"197","NER",3,-0.0521623,5.8960538,0.9584715,702,0.73,0,1,0,5.833333,10.11362,"Sub-saharan Africa"
"198","NER",4,2.979125,4.866395,0.8724772,643,0.73,0,1,0,5.833333,12.61603,"Sub-saharan Africa"
"199","NER",5,-7.8325691,5.493156,NA,714,0.73,0,1,0,5.833333,14.95434,"Sub-saharan Africa"
"200","NER",6,-1.867643,7.778758,NA,570,0.73,0,1,0,5.833333,14.20819,"Sub-saharan Africa"
"201","NER",7,-2.752728,7.4496069,NA,NA,0.73,0,1,0,5.833333,19.273581,"Sub-saharan Africa"
"202","NGA",2,6.6333809,0.3738668,1.196144,767,0.87,0,1,0,3.084896,16.27459,"Sub-saharan Africa"
"203","NGA",3,2.8186109,0.106749,1.172996,1192,0.87,0.25,1,0,3.084896,14.99199,"Sub-saharan Africa"
"204","NGA",4,-4.033957,0.0530147,1.664464,1513,0.87,0,1,0,3.084896,20.834499,"Sub-saharan Africa"
"205","NGA",5,-2.3922319,0.0485014,0.5176515,1419,0.87,0,1,0,3.084896,25.498581,"Sub-saharan Africa"
"206","NGA",6,0.3214651,0.0889788,0.3810838,973,0.87,0,1,0,3.084896,32.74733,"Sub-saharan Africa"
"207","NGA",7,1.3122621,0.1545874,0.1669727,995,0.87,0,1,0,3.084896,26.145451,"Sub-saharan Africa"
"208","NIC",2,-0.3850995,0.4276597,0.7687464,2359,0.18,0,0,0,2.999479,15.5151,"Other"
"209","NIC",3,3.5534599,0.5230825,0.7758667,2629,0.18,0,0,0,2.999479,18.717859,"Other"
"210","NIC",4,-10.2612305,2.072741,0.4130862,2459,0.18,1.25,0,0,2.999479,19.59498,"Other"
"211","NIC",5,-3.48844,3.119837,-0.7040213,1839,0.18,0,0,0,2.999479,27.320801,"Other"
"212","PAK",2,2.0835941,0.8170575,0.7095931,1029,0.64,0.5,0,0,4.109375,38.421341,"Other"
"213","PAK",3,1.49976,1.055366,0.4925169,934,0.64,0.5,0,0,4.109375,47.181721,"Other"
"214","PAK",4,4.5468669,0.8497334,0.667682,1014,0.64,0.25,0,0,4.109375,36.895889,"Other"
"215","PAK",5,3.4761939,0.7083635,0.7709815,1129,0.64,0.25,0,0,4.109375,40.945938,"Other"
"216","PAK",6,3.144556,0.6660512,0.6578589,1280,0.64,0,0,0,4.109375,41.296421,"Other"
"217","PAK",7,1.982531,0.4932093,0.6353698,1394,0.64,0.75,0,0,4.109375,42.241749,"Other"
"218","PER",2,1.500508,0.2536955,1.005555,2736,0.59,0,0,0,3.234375,21.374531,"Other"
"219","PER",3,0.9286919,0.3551153,0.6025754,3138,0.59,0,0,0,3.234375,24.963619,"Other"
"220","PER",4,1.3649631,0.3383372,0.3921387,2796,0.59,0.25,0,0,3.234375,25.004709,"Other"
"221","PER",5,-4.2680001,0.4830249,-0.0572213,2977,0.59,0.75,0,0,3.234375,20.788429,"Other"
"222","PER",6,-3.0535979,0.4023583,-1.4306509,2838,0.59,3.25,0,0,3.234375,23.41573,"Other"
"223","PER",7,-0.7643446,0.6353229,0.3625337,2188,0.59,2.25,0,0,3.234375,20.19389,"Other"
"224","PHL",2,2.7988219,0.3990127,1.018815,1403,0.74,1.5,0,1,2.967708,23.94558,"East Asia"
"225","PHL",3,3.0909309,0.3022969,1.010471,1587,0.74,0.75,0,1,2.967708,22.690639,"East Asia"
"226","PHL",4,2.3345039,0.2555976,0.9724869,1780,0.74,0.25,0,1,2.967708,19.894501,"East Asia"
"227","PHL",5,-4.9350739,0.3846004,0.8170419,1915,0.74,2.25,0,1,2.967708,23.766821,"East Asia"
"228","PHL",6,2.924233,0.6141661,2.0569351,1535,0.74,3,0,1,2.967708,28.80117,"East Asia"
"229","PHL",7,-0.9085332,0.6760107,3.132061,1763,0.74,0,0,1,2.967708,28.72826,"East Asia"
"230","PRY",2,3.1396091,0.7461522,1.1593879,1394,0.14,0,0,0,4.396875,15.61434,"Other"
"231","PRY",3,4.8559918,0.6332555,1.135205,1615,0.14,0,0,0,4.396875,18.76235,"Other"
"232","PRY",4,7.5062189,0.5339858,1.053259,2057,0.14,0,0,0,4.396875,20.28738,"Other"
"233","PRY",5,-3.1757741,0.6741998,1.017431,2414,0.14,0,0,0,4.396875,23.131029,"Other"
"234","PRY",6,0.9001451,0.7420832,1.5513591,1998,0.14,0,0,0,4.396875,21.702761,"Other"
"235","PRY",7,-0.1097943,0.7861565,3.2179461,2128,0.14,0.25,0,0,4.396875,17.944019,"Other"
"236","SEN",2,-0.3642866,3.3599451,1.13579,1146,0.72,0,1,0,4.747396,13.39819,"Sub-saharan Africa"
"237","SEN",3,1.689328,3.2784719,0.9618749,1062,0.72,0,1,0,4.747396,16.34655,"Sub-saharan Africa"
"238","SEN",4,-3.199038,3.8971331,1.134356,1110,0.72,0,1,0,4.747396,23.89983,"Sub-saharan Africa"
"239","SEN",5,1.135197,3.9895461,0.6430827,1203,0.72,0,1,0,4.747396,30.14307,"Sub-saharan Africa"
